sofifa_id,short_name
252316,H. Ekdal
252315,A. Candela
252314,M. Rosafio
252313,M. Marin
252312,G. Stancampiano
252309,C. Manzinga
252308,A. Musrati
252304,I. Zlatanović
252302,Y. Larouci
252301,D. Fage
252298,M. Winter
252296,F. Gonzales
252295,L. Mack
252294,K. Adams
252293,I. Jakobs
252291,Pedro Augusto
252290,S. Esposito
252289,Richard Rodrigues
252287,Jorge Vilela
252286,Rodrigo Freitas
252284,Simão Bertelli
252282,Breno
252281,F. Beklevic
252280,A. Nilsson
252279,B. Nimaga
252276,Raúl Prada
252275,N. Šipčić
252271,J. Tré
252270,P. Cornud
252269,F. Quispel
252268,R. Roosken
252267,N. Köpf
252266,L. Gabbichler
252265,L. Ried
252264,E. Eyibil
252263,N. Kölle
252262,J. Ras
252261,H. Akujobi
252260,P. Sturm
252259,E. Millot
252258,M. Talabidi
252257,R. Jalving
252255,Barredo
252254,L. Lukacevic
252253,N. Zdichynec
252252,P. Koller
252251,T. Oluwa
252249,J. Berks
252247,Z. Lepasa
252241,D. Rouyard
252240,A. Soñora
252239,L. González
252238,A. Velasco
252237,D. Grözinger
252236,S. Bakaev
252234,N. Dorofeev
252232,B. Essele
252230,Gandoy
252229,L. Nussbaumer
252227,F. Bloch
252224,B. Eizenchart
252216,E. Seçgin
252214,Y. Kafkasyali
252208,R. Yilmaz
252207,O. Akgün
252205,T. Rambaud
252203,V. Jaramillo
252202,G. Bellodi
252201,A. Stanilewicz
252200,Diogo Sousa
252197,Osman Junior
252194,C. Albornoz
252193,R. Ruiz
252191,J. Garza
252186,M. Sitti
252185,C. Sene
252184,M. Biteghé
252183,H. Vandermersch
252181,Huang Jiahui
252180,J. Northcott
252179,J. Markovič
252178,S. Wearne
252177,D. Palmieri
252176,T. Milašius
252175,A. Maiz
252173,A. Van Keilegom
252172,L. Coveliers
252171,M. Helal
252168,M. Brizuela
252166,D. Ściślak
252165,S. Van Dessel
252163,A. Ousmane
252162,A. Ueda
252161,G. Forrest
252160,M. Deman
252159,P. Bueno
252158,F. Quintiero
252157,S. Ciocan
252156,A. Popescu
252155,A. Voda
252154,M. Carnesecchi
252151,V. Storsve
252150,Patrick William
252149,R. Nizet
252146,Franquesa
252144,Eduardo Quaresma
252142,M. Petratos
252141,D. Janošek
252140,O. Carabalí
252139,Filipe Soares
252138,M. Graiciar
252137,M. Essimi
252136,T. Garcia
252135,Dani Fernández
252133,Wilson Carvalho
252131,A. Catic
252126,D. Centeno
252125,J. Consbruch
252124,A. El-Youssef
252121,M. Da Luz
252118,H. Al Ameri
252116,Andrés García
252115,B. Machini
252113,D. Segbé Azankpo
252111,M. Gueddar
252110,S. Ako
252109,João Serrão
252105,R. Castillo
252099,P. Gál-Andrezly
252095,Riccieli
252094,Lapeña
252093,P. Flottmann
252091,Kaxe
252090,Carlos Bravo
252088,Saúl Crespo
252087,Y. Diori
252086,Son
252085,Pablo Trigueros
252083,Douglas Aurélio
252082,C. Brym
252081,E. Kardeşler
252079,Manu Fuster
252078,S. Loric
252077,B. Alceus
252076,L. Schellenberg
252075,G. Weiß
252074,A. Rogel
252073,F. Bilbija
252072,S. Ramos Mingo
252071,J. Gardiner-Smith
252065,L. Ruggiero
252064,L. Krejčí
252063,D. Keane
252062,R. Moreo
252061,J. Malone
252060,T. Pobega
252059,S. Abdul Samed
252058,B. Anoff
252057,L. Gavioli
252053,F. Torres
252052,A. Lozano
252050,A. Aguirre
252049,Han Seok Hee
252047,Y. Bilingi
252046,D. Youfeigane
252045,F. Konaté
252044,L. Picco
252043,O. Funch
252041,A. O'Neill
252039,M. Williams
252038,Romário Baró
252037,Fábio Silva
252036,N. Colombo
252035,A. Al Khamis
252033,Tomás Esteves
252032,M. Mbaye
252031,F. Heister
252030,B. Fazliji
252029,J. Roth
252028,Fabiano Alves
252026,V. Mora
252024,W. Britto
252023,J. Sánchez
252022,G. Athanasiadis
252021,T. Dallinga
252020,J. Cooper
252019,L. van Kleef
252018,K. Piątkowski
252015,S. Tanaka
252014,H. Bockhorn
252013,R. Hauk
252012,D. James
252010,O. Uzun
252009,J. González
252008,I. Reyes
252007,J. Lozano
252006,B. Vázquez
252001,J. Panzo
252000,D. Bradarić
251997,Bruno Xavier
251996,Raphael Aflalo
251995,João Gonçalves
251994,Tiago Esgaio
251993,L. Diako
251990,Luquinha
251988,A. Colpani
251986,Lucas Dambros
251985,D. Ferretti
251984,João Silva
251981,M. Huard
251980,T. Tushi
251979,L. Marchi
251978,Y. Marchand
251977,V. Postolachi
251976,C. Duke
251975,C. Martínez
251974,H. Mbock
251973,I. Salou
251972,C. Pizarro
251971,Y. González
251962,R. Mroivili
251961,R. Philippe
251960,J. Munsters
251959,J. Donkor
251958,A. Tchang-Tchong
251957,T. Barbet
251956,A. Ngouyamsa
251955,M. Deletić
251952,M. Toscano
251951,M. Cicconi
251949,C. Crialese
251945,A. Hasanally
251944,Joan Femenías
251941,T. Štrkalj
251940,D. Hafsteinsson
251939,I. Bancé
251935,C. Kameraj
251934,Luiz Henrique
251932,L. Cuppone
251931,T. Alberti
251930,F. Lisi
251928,K. Lidin
251926,R. Ndiaye
251924,N. Zohoré
251920,A. Meroni
251916,P. Ndiaga Yade
251915,A. Lô
251914,Simón Moreno
251913,A. Stahl
251912,Z. Ould Khaled
251911,M. Nzita
251910,R. Matthys
251909,B. Manzano
251908,O. Villadsen
251906,S. Al Abbas
251905,M. Woledzi
251904,J. Schelfhout
251901,Willyan
251899,Rômulo
251898,Everson
251894,Show
251892,Beto
251891,Lucas Soares
251890,J. Daoudi
251888,F. Yonsian
251887,L. Coyette
251886,A. Frías
251885,E. Coacci
251878,F. Borța
251877,V. Constantin
251876,R. Hreniuc
251872,R. Neciu
251871,T. Sakano
251870,J. Cabal
251868,Bertín
251866,O. Djorkaeff
251864,R. Grecu
251857,K. Frisorger
251856,D. Meisel
251855,W. Taïbi
251853,S. D'Angelo
251848,R. Moldoveanu
251847,Paulinho
251846,M. Velisar
